PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
03218,-4.812239,2.076959,8.370914,-0.095989,0.039557,0.063183,0.027142,0.009238,-0.000360,-0.048118,0.020758,0.083714,1.000000,0.000136,0.000046,-0.000002,0.735585,-0.084328,0.261967,0.619013,13.279461,29.327242,83.652293
03219,-4.785321,2.013692,8.427601,-0.014805,0.074129,0.085444,0.024396,0.006537,-0.005148,-0.047850,0.020128,0.084280,1.000000,0.000122,0.000033,-0.000026,0.735566,-0.084250,0.262031,0.619019,13.292878,29.326618,83.657699
03220,-4.761112,1.984994,8.442767,0.020682,0.095905,0.080698,0.019630,0.009309,-0.015761,-0.047606,0.019845,0.084432,1.000000,0.000098,0.000047,-0.000079,0.735573,-0.084229,0.262093,0.618987,13.299527,29.330767,83.656477
03221,-4.765666,1.915388,8.424523,0.083505,0.069109,0.053473,0.035448,0.018086,-0.016419,-0.047647,0.019143,0.084253,1.000000,0.000177,0.000090,-0.000082,0.735579,-0.084161,0.262230,0.618931,13.316589,29.338076,83.656437
03222,-4.754203,2.079928,8.443998,-0.063715,0.125642,0.097398,0.052266,0.026434,-0.023350,-0.047528,0.020783,0.084452,1.000000,0.000261,0.000132,-0.000117,0.735601,-0.084083,0.262453,0.618821,13.340831,29.352776,83.652959
03223,-4.871142,2.041215,8.356162,-0.059035,-0.021544,0.072457,0.047188,0.029762,-0.026119,-0.048696,0.020399,0.083574,1.000000,0.000236,0.000149,-0.000131,0.735626,-0.084021,0.262665,0.618710,13.362444,29.367873,83.648494
03224,-4.871592,1.955816,8.407906,0.040652,-0.015299,0.099357,0.051595,0.024148,-0.023381,-0.048703,0.019542,0.084090,1.000000,0.000258,0.000121,-0.000117,0.735651,-0.083938,0.262877,0.618601,13.386126,29.381305,83.644661
03225,-4.913882,2.056813,8.390122,-0.060590,-0.036103,0.125415,0.058581,0.023830,-0.021115,-0.049127,0.020549,0.083913,1.000000,0.000293,0.000119,-0.000106,0.735673,-0.083810,0.263104,0.618496,13.415389,29.392465,83.642546
03226,-4.828003,2.044411,8.369243,-0.042299,0.027556,0.063087,0.049173,0.016247,-0.017672,-0.048271,0.020428,0.083701,1.000000,0.000246,0.000081,-0.000088,0.735689,-0.083704,0.263282,0.618415,13.438889,29.400737,83.641172
03227,-4.877523,2.072647,8.376847,-0.067919,-0.004814,0.099579,0.056447,0.017471,-0.024843,-0.048765,0.020709,0.083779,1.000000,0.000282,0.000087,-0.000124,0.735730,-0.083569,0.263478,0.618302,13.465289,29.408876,83.635766
03228,-4.854122,2.045695,8.391253,-0.032445,0.016992,0.094843,0.039710,0.012904,-0.017394,-0.048534,0.020445,0.083920,1.000000,0.000199,0.000065,-0.000087,0.735746,-0.083487,0.263615,0.618236,13.483206,29.415249,83.634064
03229,-4.870462,2.009201,8.415430,0.010347,0.005795,0.115938,0.037026,0.005948,-0.019014,-0.048700,0.020081,0.084159,1.000000,0.000185,0.000030,-0.000095,0.735776,-0.083380,0.263711,0.618173,13.499443,29.416213,83.630448
03230,-4.826232,2.021470,8.363158,-0.009740,0.023609,0.052434,0.034501,0.006549,-0.019610,-0.048258,0.020205,0.083637,1.000000,0.000173,0.000033,-0.000098,0.735805,-0.083300,0.263807,0.618108,13.513202,29.419344,83.626357
03231,-4.842928,1.878519,8.412492,0.141499,-0.000222,0.073302,0.040155,0.011841,-0.021593,-0.048422,0.018774,0.084132,1.000000,0.000201,0.000059,-0.000108,0.735836,-0.083204,0.263933,0.618030,13.530858,29.423959,83.622176
03232,-4.866885,1.930286,8.423819,0.097153,-0.003593,0.105167,0.070541,0.016367,-0.016658,-0.048660,0.019277,0.084249,1.000000,0.000353,0.000082,-0.000083,0.735858,-0.083018,0.264178,0.617925,13.566937,29.432164,83.621488
03233,-4.863480,1.989912,8.367073,0.030169,-0.012459,0.067597,0.077178,0.013186,-0.022263,-0.048627,0.019872,0.083682,1.000000,0.000386,0.000066,-0.000111,0.735905,-0.082790,0.264423,0.617794,13.605665,29.437633,83.616921
03234,-4.832595,1.985808,8.367991,0.044221,0.014549,0.052327,0.100541,0.020119,-0.021215,-0.048315,0.019821,0.083695,1.000000,0.000503,0.000101,-0.000106,0.735948,-0.082512,0.264773,0.617630,13.657793,29.448544,83.613916
03235,-4.849731,2.060801,8.365017,-0.021443,0.015995,0.073645,0.104381,0.024021,-0.020648,-0.048485,0.020569,0.083667,1.000000,0.000522,0.000120,-0.000103,0.735987,-0.082216,0.265143,0.617466,13.713429,29.459859,83.612240
03236,-4.847544,2.017334,8.332211,0.019937,-0.005178,0.035846,0.126731,0.025793,-0.027494,-0.048462,0.020127,0.083341,1.000000,0.000634,0.000129,-0.000137,0.736052,-0.081867,0.265591,0.617241,13.779036,29.474788,83.606131
03237,-4.902794,2.104233,8.366560,-0.047146,-0.016959,0.110114,0.146259,0.026646,-0.025503,-0.049014,0.020987,0.083687,1.000000,0.000731,0.000133,-0.000128,0.736119,-0.081431,0.266098,0.617000,13.857348,29.488252,83.601577
03238,-4.897647,2.133175,8.349867,-0.068665,-0.012354,0.099567,0.110567,0.019680,-0.020588,-0.048966,0.021291,0.083515,1.000000,0.000553,0.000098,-0.000103,0.736164,-0.081113,0.266476,0.616825,13.915409,29.498844,83.598956
03239,-4.899419,2.140515,8.346949,-0.068685,-0.013202,0.099566,0.089728,0.012113,-0.021054,-0.048987,0.021373,0.083482,1.000000,0.000449,0.000061,-0.000105,0.736213,-0.080835,0.266757,0.616683,13.961616,29.503644,83.595182
03240,-4.850253,2.192645,8.351704,-0.106158,0.043586,0.090365,0.067134,0.009096,-0.020009,-0.048497,0.021903,0.083527,1.000000,0.000336,0.000045,-0.000100,0.736252,-0.080644,0.266963,0.616571,13.994154,29.508275,83.591267
03241,-4.876756,2.172966,8.346551,-0.087500,0.014066,0.094966,0.045630,0.009394,-0.024732,-0.048761,0.021717,0.083473,1.000000,0.000228,0.000047,-0.000124,0.736298,-0.080525,0.267096,0.616475,14.013740,29.512092,83.584663
03242,-4.888183,2.137699,8.328995,-0.057515,-0.011115,0.078360,0.038911,0.008808,-0.019642,-0.048876,0.021366,0.083296,1.000000,0.000195,0.000044,-0.000098,0.736325,-0.080436,0.267214,0.616402,14.030201,29.516515,83.580941
03243,-4.876491,2.195437,8.373204,-0.096328,0.032142,0.122117,0.027266,0.005459,-0.027763,-0.048760,0.021950,0.083736,1.000000,0.000136,0.000027,-0.000139,0.736378,-0.080376,0.267275,0.616320,14.038006,29.518599,83.571745
03244,-4.882708,2.158658,8.314444,-0.079056,-0.007366,0.067814,0.008318,0.003045,-0.030288,-0.048823,0.021591,0.083146,1.000000,0.000042,0.000015,-0.000151,0.736434,-0.080397,0.267273,0.616252,14.033135,29.521298,83.560302
03245,-4.891068,2.032415,8.353336,0.050810,-0.025797,0.078129,0.003332,0.000032,-0.028277,-0.048908,0.020330,0.083534,1.000000,0.000017,0.000000,-0.000141,0.736486,-0.080409,0.267241,0.616202,14.026647,29.520455,83.549855
03246,-4.851371,2.040642,8.343899,0.043407,0.006376,0.052339,0.011559,0.000486,-0.026515,-0.048511,0.020408,0.083440,1.000000,0.000058,0.000002,-0.000133,0.736535,-0.080404,0.267241,0.616145,14.024618,29.521207,83.540414
03247,-4.856930,2.040270,8.385407,0.056096,0.019887,0.090039,0.029258,0.002150,-0.023494,-0.048566,0.020396,0.083858,1.000000,0.000146,0.000011,-0.000117,0.736580,-0.080321,0.267298,0.616076,14.034641,29.520886,83.533300
03248,-4.890430,1.998744,8.394165,0.096105,-0.014434,0.105168,0.024312,0.005024,-0.022592,-0.048900,0.019983,0.083945,1.000000,0.000122,0.000025,-0.000113,0.736616,-0.080279,0.267356,0.616014,14.041511,29.523616,83.527090
03249,-4.903720,1.944088,8.348246,0.134913,-0.059296,0.061392,0.034566,0.000066,-0.014952,-0.049036,0.019430,0.083486,1.000000,0.000173,0.000000,-0.000075,0.736640,-0.080159,0.267425,0.615971,14.057070,29.520976,83.525159
03250,-4.858634,2.098030,8.370118,0.001597,0.024188,0.090158,0.030341,0.000992,-0.010861,-0.048585,0.020970,0.083705,1.000000,0.000152,0.000005,-0.000054,0.736647,-0.080066,0.267491,0.615946,14.070769,29.519834,83.525798
03251,-4.851475,2.119242,8.356489,-0.019849,0.028490,0.079618,0.025527,0.003432,-0.006274,-0.048513,0.021183,0.083568,1.000000,0.000128,0.000017,-0.000031,0.736635,-0.079978,0.267548,0.615947,14.084128,29.517860,83.530106
03252,-4.869466,2.063716,8.352717,0.031583,-0.001755,0.073541,0.022114,0.000528,-0.012627,-0.048693,0.020631,0.083530,1.000000,0.000111,0.000003,-0.000063,0.736645,-0.079916,0.267586,0.615926,14.092521,29.516707,83.529543
03253,-4.907531,2.127849,8.377251,-0.024085,-0.009667,0.126591,0.032729,0.000816,-0.013963,-0.049073,0.021268,0.083776,1.000000,0.000164,0.000004,-0.000070,0.736664,-0.079805,0.267653,0.615889,14.107365,29.514379,83.528372
03254,-4.837503,2.163186,8.328603,-0.062953,0.036813,0.058540,0.037642,0.000041,-0.016472,-0.048373,0.021620,0.083290,1.000000,0.000188,0.000000,-0.000082,0.736693,-0.079689,0.267736,0.615834,14.123406,29.513493,83.525274
03255,-4.852940,2.073736,8.366942,0.034093,0.019603,0.079510,0.033152,0.001834,-0.019752,-0.048527,0.020728,0.083673,1.000000,0.000166,0.000009,-0.000099,0.736727,-0.079588,0.267805,0.615776,14.136748,29.512568,83.520832
03256,-4.893736,2.067462,8.375254,0.041310,-0.013656,0.105278,0.052123,0.002147,-0.015651,-0.048935,0.020657,0.083758,1.000000,0.000261,0.000011,-0.000078,0.736756,-0.079424,0.267940,0.615704,14.161512,29.512738,83.518597
03257,-4.833878,2.155556,8.396852,-0.026359,0.067349,0.112769,0.048453,0.003665,-0.013658,-0.048336,0.021539,0.083975,1.000000,0.000242,0.000018,-0.000068,0.736776,-0.079264,0.268066,0.615645,14.185671,29.511983,83.518083
03258,-4.834720,2.105529,8.408875,0.027763,0.060664,0.112659,0.034304,0.012460,-0.009359,-0.048341,0.021043,0.084095,1.000000,0.000172,0.000062,-0.000047,0.736764,-0.079189,0.268187,0.615616,14.203024,29.517000,83.521529
03259,-4.875888,2.030130,8.543344,0.138775,0.068055,0.230248,0.043448,0.014325,-0.000248,-0.048753,0.020283,0.085441,1.000000,0.000217,0.000072,-0.000001,0.736726,-0.079062,0.268342,0.615611,14.229377,29.520276,83.531504
03260,-4.996431,1.758392,8.337980,0.329090,-0.189095,0.058184,0.066585,0.037466,0.006804,-0.049949,0.017554,0.083395,1.000000,0.000333,0.000187,0.000034,0.736644,-0.078924,0.268661,0.615587,14.272312,29.536896,83.549325
03261,-4.949210,2.184551,8.247338,-0.088183,-0.089822,0.049851,0.136254,0.029252,0.011596,-0.049481,0.021786,0.082495,1.000000,0.000681,0.000146,0.000058,0.736589,-0.078484,0.269161,0.615491,14.356704,29.546807,83.568684
03262,-4.838281,2.381309,8.401295,-0.207057,0.121214,0.167482,0.092319,0.034084,0.008934,-0.048370,0.023772,0.084032,1.000000,0.000462,0.000170,0.000045,0.736515,-0.078238,0.269548,0.615442,14.414811,29.561210,83.587360
03263,-4.881203,2.025701,8.387995,0.130567,-0.002093,0.100486,0.075448,0.040127,0.008450,-0.048796,0.020223,0.083897,1.000000,0.000377,0.000201,0.000042,0.736425,-0.078062,0.269899,0.615418,14.464305,29.577586,83.607524
03264,-5.018049,2.040376,8.453298,0.132401,-0.085491,0.226105,0.108948,0.046282,0.013802,-0.050162,0.020354,0.084556,1.000000,0.000545,0.000231,0.000069,0.736325,-0.077785,0.270383,0.615360,14.534496,29.598025,83.631357
03265,-5.043860,2.167258,8.334019,-0.015530,-0.130383,0.166098,0.108865,0.034490,0.016045,-0.050426,0.021623,0.083361,1.000000,0.000544,0.000172,0.000080,0.736235,-0.077458,0.270820,0.615317,14.605063,29.610166,83.654950
03266,-4.960286,2.300729,8.242443,-0.151553,-0.067654,0.077111,0.102958,0.022066,0.013453,-0.049595,0.022962,0.082442,1.000000,0.000515,0.000110,0.000067,0.736167,-0.077129,0.271196,0.615274,14.669759,29.617181,83.674590
03267,-4.780283,2.525601,8.206525,-0.349975,0.123566,0.007652,0.073809,0.014516,0.007666,-0.047798,0.025224,0.082078,1.000000,0.000369,0.000073,0.000038,0.736116,-0.076881,0.271448,0.615255,14.715980,29.619463,83.689362
03268,-4.753760,2.571559,8.236801,-0.377651,0.170980,0.030289,0.013960,0.015349,-0.001009,-0.047531,0.025710,0.082373,1.000000,0.000070,0.000077,-0.000005,0.736067,-0.076879,0.271521,0.615282,14.724581,29.624837,83.698671
03269,-4.813036,2.398746,8.270476,-0.210189,0.095712,0.049703,-0.037081,0.015119,-0.008421,-0.048123,0.024005,0.082704,1.000000,-0.000185,0.000076,-0.000042,0.736022,-0.077061,0.271428,0.615353,14.702332,29.629767,83.703332
03270,-4.718836,2.291775,8.267349,-0.105187,0.152614,-0.023185,-0.059243,0.015260,-0.014696,-0.047180,0.022946,0.082670,1.000000,-0.000296,0.000076,-0.000073,0.735987,-0.077347,0.271269,0.615429,14.664667,29.637085,83.703896
03271,-4.889342,2.178370,8.331625,0.000035,0.009755,0.090182,-0.060087,0.017598,-0.021595,-0.048884,0.021814,0.083314,1.000000,-0.000300,0.000088,-0.000108,0.735976,-0.077637,0.271110,0.615476,14.625306,29.645302,83.699603
03272,-4.870752,2.053558,8.304774,0.107177,-0.013051,0.031039,-0.035695,0.011801,-0.020962,-0.048700,0.020556,0.083047,1.000000,-0.000178,0.000059,-0.000105,0.735974,-0.077834,0.271009,0.615498,14.598867,29.651608,83.695584
03273,-4.836840,2.111038,8.324119,0.058146,0.039230,0.043150,-0.030847,0.007228,-0.023935,-0.048363,0.021129,0.083240,1.000000,-0.000154,0.000036,-0.000120,0.735987,-0.077991,0.270900,0.615510,14.574639,29.654430,83.689484
03274,-4.760273,2.196169,8.363182,-0.007170,0.143862,0.056732,-0.036288,0.013307,-0.020483,-0.047595,0.021982,0.083631,1.000000,-0.000181,0.000067,-0.000102,0.735981,-0.078194,0.270803,0.615534,14.548130,29.661499,83.686013
03275,-4.839850,2.208629,8.297291,-0.050523,0.049921,0.043386,-0.039032,0.012642,-0.026848,-0.048390,0.022109,0.082972,1.000000,-0.000195,0.000063,-0.000134,0.735995,-0.078402,0.270688,0.615542,14.518724,29.667738,83.678642
03276,-4.881840,2.194812,8.306776,-0.043226,0.016629,0.069111,-0.048306,0.014791,-0.023950,-0.048810,0.021974,0.083066,1.000000,-0.000242,0.000074,-0.000120,0.735993,-0.078659,0.270558,0.615570,14.484350,29.676124,83.673194
03277,-4.911039,2.200105,8.261455,-0.069912,-0.026143,0.046564,-0.054069,0.009944,-0.025594,-0.049103,0.022030,0.082611,1.000000,-0.000270,0.000050,-0.000128,0.735998,-0.078912,0.270386,0.615606,14.446501,29.680684,83.666569
03278,-4.934894,2.189285,8.287950,-0.059986,-0.035919,0.078287,-0.064624,0.005459,-0.021053,-0.049344,0.021925,0.082874,1.000000,-0.000323,0.000027,-0.000105,0.735993,-0.079196,0.270173,0.615669,14.402928,29.683473,83.661425
03279,-4.968182,2.139906,8.298967,-0.019749,-0.070373,0.093348,-0.071041,-0.001657,-0.022688,-0.049680,0.021434,0.082982,1.000000,-0.000355,-0.000008,-0.000113,0.736001,-0.079472,0.269908,0.615741,14.355328,29.681204,83.654299
03280,-4.885314,2.169840,8.311292,-0.043509,0.013913,0.069114,-0.064228,-0.007412,-0.022981,-0.048854,0.021731,0.083104,1.000000,-0.000321,-0.000037,-0.000115,0.736019,-0.079717,0.269648,0.615802,14.310329,29.677114,83.645817
03281,-4.838209,2.280143,8.377471,-0.131625,0.109919,0.125116,-0.087426,0.001160,-0.025781,-0.048379,0.022844,0.083765,1.000000,-0.000437,0.000006,-0.000129,0.736026,-0.080066,0.269342,0.615882,14.252585,29.676863,83.637057
03282,-4.853256,2.089752,8.332391,0.024609,0.034281,0.053827,-0.110595,-0.000364,-0.024248,-0.048530,0.020949,0.083312,1.000000,-0.000553,-0.000002,-0.000121,0.736020,-0.080506,0.268964,0.615997,14.181189,29.676850,83.628916
03283,-4.906055,2.014057,8.298869,0.071064,-0.043013,0.035669,-0.105713,-0.007044,-0.025650,-0.049061,0.020191,0.082976,1.000000,-0.000529,-0.000035,-0.000128,0.736031,-0.080896,0.268571,0.616104,14.112366,29.671992,83.618707
03284,-4.936422,2.032977,8.326478,0.048169,-0.051876,0.078039,-0.103011,-0.004319,-0.020917,-0.049364,0.020378,0.083253,1.000000,-0.000515,-0.000022,-0.000105,0.736022,-0.081290,0.268203,0.616223,14.046056,29.669300,83.612062
03285,-4.953568,1.966736,8.325619,0.099828,-0.082106,0.071902,-0.093547,-0.011100,-0.016944,-0.049539,0.019710,0.083244,1.000000,-0.000468,-0.000055,-0.000085,0.736013,-0.081613,0.267837,0.616350,13.986616,29.661006,83.607329
03286,-4.895178,2.024905,8.322120,0.040590,-0.020441,0.052332,-0.082774,-0.013344,-0.012987,-0.048956,0.020287,0.083210,1.000000,-0.000414,-0.000067,-0.000065,0.736000,-0.081895,0.267501,0.616474,13.933707,29.652188,83.604330
03287,-4.901959,2.051277,8.324203,0.007732,-0.020329,0.062981,-0.077732,-0.014552,-0.011812,-0.049024,0.020548,0.083230,1.000000,-0.000389,-0.000073,-0.000059,0.735991,-0.082140,0.267173,0.616594,13.884672,29.641261,83.601410
03288,-4.873530,2.086289,8.359116,-0.020048,0.027041,0.085675,-0.075119,-0.013491,-0.009144,-0.048740,0.020897,0.083580,1.000000,-0.000376,-0.000067,-0.000046,0.735970,-0.082388,0.266861,0.616722,13.837364,29.631829,83.600866
03289,-4.874802,2.060719,8.332445,-0.011265,0.006938,0.058468,-0.084652,-0.018519,-0.010933,-0.048755,0.020645,0.083311,1.000000,-0.000423,-0.000093,-0.000055,0.735958,-0.082647,0.266498,0.616859,13.784321,29.618630,83.598392
03290,-4.966469,1.978916,8.307725,0.042651,-0.102809,0.065968,-0.077746,-0.014598,-0.011865,-0.049670,0.019824,0.083066,1.000000,-0.000389,-0.000073,-0.000059,0.735944,-0.082904,0.266173,0.616980,13.734571,29.608952,83.595952
03291,-4.937918,2.067602,8.329771,-0.039331,-0.049768,0.088780,-0.060046,-0.020879,-0.006099,-0.049387,0.020703,0.083286,1.000000,-0.000300,-0.000104,-0.000030,0.735927,-0.083060,0.265878,0.617107,13.696985,29.593767,83.596874
03292,-4.901359,2.123498,8.351976,-0.088573,0.002617,0.100950,-0.056502,-0.021957,-0.011793,-0.049022,0.021261,0.083508,1.000000,-0.000283,-0.000110,-0.000059,0.735932,-0.083217,0.265591,0.617204,13.658872,29.579979,83.593350
03293,-4.907367,2.098939,8.366953,-0.067162,-0.003191,0.111484,-0.053920,-0.018783,-0.010712,-0.049080,0.021015,0.083659,1.000000,-0.000270,-0.000094,-0.000054,0.735934,-0.083360,0.265322,0.617298,13.623519,29.566591,83.590584
03294,-4.858225,2.122583,8.347114,-0.096202,0.034045,0.075265,-0.051492,-0.021053,-0.012216,-0.048590,0.021250,0.083461,1.000000,-0.000257,-0.000105,-0.000061,0.735941,-0.083502,0.265054,0.617385,13.588224,29.553360,83.586950
03295,-4.852082,2.153347,8.407711,-0.113901,0.071924,0.129700,-0.072252,-0.016917,-0.014911,-0.048526,0.021567,0.084065,1.000000,-0.000361,-0.000085,-0.000075,0.735946,-0.083724,0.264733,0.617487,13.541205,29.541586,83.581812
03296,-4.915465,1.972112,8.340867,0.025983,-0.054584,0.067466,-0.076678,-0.019365,-0.015025,-0.049161,0.019757,0.083396,1.000000,-0.000383,-0.000097,-0.000075,0.735948,-0.083967,0.264392,0.617597,13.490735,29.529666,83.576664
03297,-4.911774,2.036293,8.359934,-0.037154,-0.030149,0.094795,-0.074999,-0.025575,-0.018634,-0.049127,0.020399,0.083585,1.000000,-0.000375,-0.000128,-0.000093,0.735969,-0.084181,0.264028,0.617699,13.440312,29.513611,83.568965
03298,-4.944814,1.967593,8.342738,0.011922,-0.083574,0.082602,-0.085590,-0.028048,-0.015763,-0.049458,0.019716,0.083412,1.000000,-0.000428,-0.000140,-0.000079,0.735981,-0.084431,0.263628,0.617822,13.383865,29.496943,83.562045
03299,-4.909677,1.896845,8.361956,0.080116,-0.062428,0.067340,-0.076678,-0.027416,-0.012394,-0.049107,0.019004,0.083606,1.000000,-0.000383,-0.000137,-0.000062,0.735983,-0.084637,0.263255,0.617950,13.334329,29.479037,83.558198
03300,-4.862754,1.989144,8.401409,0.000526,0.014254,0.096224,-0.067632,-0.027226,-0.005332,-0.048638,0.019921,0.084001,1.000000,-0.000338,-0.000136,-0.000027,0.735969,-0.084810,0.262917,0.618087,13.291541,29.461440,83.558119
03301,-4.777854,2.019853,8.414971,-0.023393,0.098319,0.072110,-0.065412,-0.024820,-0.013717,-0.047788,0.020229,0.084137,1.000000,-0.000327,-0.000124,-0.000069,0.735980,-0.084983,0.262588,0.618191,13.248255,29.445118,83.553264
03302,-4.821385,1.915631,8.380159,0.055994,0.020611,0.043219,-0.046059,-0.013252,-0.019582,-0.048218,0.019180,0.083794,1.000000,-0.000230,-0.000066,-0.000098,0.736001,-0.085138,0.262362,0.618240,13.214390,29.437184,83.546191
03303,-4.844329,2.065717,8.369427,-0.096826,0.028094,0.075278,-0.024811,-0.012538,-0.022177,-0.048446,0.020673,0.083689,1.000000,-0.000124,-0.000063,-0.000111,0.736038,-0.085211,0.262200,0.618254,13.192597,29.428853,83.537762
03304,-4.858934,2.041898,8.282820,-0.103197,-0.029542,0.004245,-0.027013,-0.009074,-0.014890,-0.048592,0.020434,0.082823,1.000000,-0.000135,-0.000045,-0.000074,0.736047,-0.085303,0.262051,0.618294,13.171434,29.422631,83.534329
03305,-4.902554,1.868649,8.372477,0.079745,-0.066167,0.067319,-0.035474,-0.007309,-0.006711,-0.049028,0.018703,0.083720,1.000000,-0.000177,-0.000037,-0.000034,0.736032,-0.085407,0.261883,0.618368,13.148825,29.415143,83.535325
03306,-4.891275,1.797613,8.414987,0.157899,-0.053969,0.083784,-0.022933,-0.008442,0.009941,-0.048917,0.017983,0.084146,1.000000,-0.000115,-0.000042,0.000050,0.735965,-0.085454,0.261759,0.618494,13.137860,29.406036,83.547897
03307,-4.802331,1.870140,8.485319,0.116186,0.068696,0.114157,-0.002716,-0.013159,0.014715,-0.048030,0.018699,0.084850,1.000000,-0.000014,-0.000066,0.000074,0.735905,-0.085392,0.261679,0.618608,13.140270,29.392572,83.561913
03308,-4.761718,1.932788,8.464077,0.054236,0.106720,0.088621,-0.013013,0.003250,0.020154,-0.047618,0.019329,0.084640,1.000000,-0.000065,0.000016,0.000101,0.735795,-0.085425,0.261633,0.618753,13.139051,29.388660,83.582771
03309,-4.874740,1.889345,8.378447,0.060552,-0.040112,0.062828,-0.013665,0.000978,0.020145,-0.048749,0.018894,0.083783,1.000000,-0.000068,0.000005,0.000101,0.735685,-0.085445,0.261573,0.618907,13.137921,29.382348,83.604162
03310,-4.868968,1.889932,8.337141,0.047872,-0.054906,0.025062,-0.029483,-0.011655,0.020292,-0.048696,0.018907,0.083366,1.000000,-0.000147,-0.000058,0.000101,0.735588,-0.085492,0.261421,0.619081,13.126211,29.370104,83.622879
03311,-4.919891,1.433432,8.359559,0.483488,-0.191513,-0.021270,-0.028244,-0.024798,0.023529,-0.049211,0.014340,0.083587,1.000000,-0.000141,-0.000124,0.000118,0.735499,-0.085480,0.261223,0.619272,13.115859,29.349018,83.641788
03312,-4.926128,1.238200,8.381565,0.676599,-0.233493,-0.038323,0.034459,-0.030507,0.039963,-0.049277,0.012358,0.083810,1.000000,0.000172,-0.000153,0.000200,0.735392,-0.085207,0.261208,0.619442,13.145559,29.323694,83.670274
03313,-4.962587,1.680716,8.321009,0.240947,-0.201646,0.015463,0.115720,-0.040383,0.050560,-0.049647,0.016746,0.083210,1.000000,0.000579,-0.000202,0.000253,0.735301,-0.084583,0.261410,0.619550,13.224846,29.290416,83.703982
03314,-4.631142,1.925698,8.494607,0.097824,0.209832,0.049388,0.100377,-0.044728,0.061174,-0.046336,0.019200,0.084945,1.000000,0.000502,-0.000224,0.000306,0.735175,-0.083997,0.261556,0.619718,13.297828,29.254317,83.743801
03315,-4.754702,1.696883,8.471736,0.309990,0.035869,0.044265,0.137783,-0.026181,0.049377,-0.047562,0.016899,0.084723,1.000000,0.000689,-0.000131,0.000247,0.735076,-0.083338,0.261876,0.619789,13.390311,29.229028,83.779084
03316,-4.822033,2.386796,8.382419,-0.365693,0.082039,0.140868,0.165443,-0.026445,0.051054,-0.048237,0.023786,0.083838,1.000000,0.000827,-0.000132,0.000255,0.734984,-0.082582,0.262287,0.619826,13.498673,29.204355,83.815079
03317,-4.821146,2.327704,8.364364,-0.302589,0.056301,0.113515,0.074034,-0.025875,0.040339,-0.048227,0.023236,0.083646,1.000000,0.000370,-0.000129,0.000202,0.734889,-0.082169,0.262407,0.619943,13.551751,29.180366,83.843969
03318,-4.914825,1.906507,8.355628,0.095259,-0.126059,0.065663,0.069506,-0.037999,0.040810,-0.049168,0.019026,0.083554,1.000000,0.000348,-0.000190,0.000204,0.734803,-0.081743,0.262474,0.620072,13.601025,29.150564,83.871568
03319,-4.706110,1.996467,8.552052,0.092155,0.156163,0.149143,0.076138,-0.035568,0.049336,-0.047081,0.019920,0.085520,1.000000,0.000381,-0.000178,0.000247,0.734692,-0.081281,0.262569,0.620224,13.657323,29.119956,83.904866
03320,-4.751537,2.296404,8.496357,-0.204692,0.152057,0.185994,0.098258,-0.009823,0.061207,-0.047527,0.022908,0.084973,1.000000,0.000491,-0.000049,0.000306,0.734518,-0.080810,0.262836,0.620379,13.731458,29.103022,83.949750
03321,-4.884457,2.505190,8.299694,-0.463222,-0.009109,0.127341,0.057267,0.001266,0.052269,-0.048851,0.025015,0.083004,1.000000,0.000286,0.000006,0.000261,0.734339,-0.080528,0.263009,0.620555,13.780615,29.092388,83.991070
03322,-4.762171,2.732414,8.332214,-0.654302,0.158379,0.143063,0.023095,-0.006997,0.031574,-0.047629,0.027307,0.083324,1.000000,0.000115,-0.000035,0.000158,0.734222,-0.080382,0.263041,0.620699,13.802689,29.081007,84.017484
03323,-4.970551,2.331932,8.256441,-0.312854,-0.145091,0.096610,-0.038982,-0.002554,0.014882,-0.049708,0.023332,0.082559,1.000000,-0.000195,-0.000013,0.000074,0.734131,-0.080487,0.262887,0.620858,13.784901,29.073375,84.033313
03324,-4.797449,2.491380,8.324364,-0.433348,0.068014,0.103215,-0.043526,-0.028298,0.003936,-0.047987,0.024931,0.083231,1.000000,-0.000218,-0.000141,0.000020,0.734101,-0.080555,0.262623,0.620996,13.758632,29.053918,84.038806
03325,-4.706323,2.398466,8.435051,-0.312486,0.173502,0.133389,-0.112604,-0.031585,-0.012355,-0.047075,0.024035,0.084330,1.000000,-0.000563,-0.000158,-0.000062,0.734100,-0.080878,0.262123,0.621166,13.688125,29.033851,84.033199
03326,-4.739599,2.115066,8.470298,-0.046059,0.097626,0.120670,-0.109599,-0.019379,-0.019756,-0.047402,0.021202,0.084687,1.000000,-0.000548,-0.000097,-0.000099,0.734105,-0.081247,0.261677,0.621300,13.617366,29.022575,84.025029
03327,-4.885509,2.161186,8.471843,-0.112833,-0.018602,0.202200,-0.083657,0.001176,-0.037162,-0.048851,0.021656,0.084710,1.000000,-0.000418,0.000006,-0.000186,0.734144,-0.081599,0.261377,0.621335,13.558289,29.024073,84.009921
