PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
22840,-3.860459,0.800814,9.047535,-0.026564,0.032449,0.056486,-0.016380,0.010019,0.002337,-0.038600,0.008015,0.090477,1.000000,-0.000082,0.000050,0.000012,0.217073,0.204918,0.002009,-0.954402,5.309621,23.080305,-153.287901
22841,-3.871465,0.871650,9.019376,0.022082,-0.026089,0.041042,0.000154,0.027423,-0.000530,-0.038702,0.008717,0.090199,1.000000,0.000001,0.000137,-0.000003,0.217122,0.205024,0.002063,-0.954368,5.307785,23.093486,-153.281152
22842,-3.872768,0.827862,9.076784,-0.019583,0.007619,0.090406,0.005233,0.031068,-0.002875,-0.038713,0.008277,0.090774,1.000000,0.000026,0.000155,-0.000014,0.217211,0.205151,0.002110,-0.954321,5.308561,23.108672,-153.268859
22843,-3.898927,0.850130,9.031202,0.026501,0.001767,0.060826,0.013387,0.028558,-0.004001,-0.038976,0.008496,0.090318,1.000000,0.000067,0.000143,-0.000020,0.217230,0.205277,0.002106,-0.954289,5.313491,23.122684,-153.264195
22844,-3.897116,0.880045,9.082235,0.015241,-0.031130,0.109399,0.012718,0.023393,-0.007107,-0.038960,0.008796,0.090827,1.000000,0.000064,0.000117,-0.000036,0.217250,0.205376,0.002102,-0.954263,5.317537,23.133722,-153.259887
22845,-3.891258,0.853189,9.050207,0.009924,-0.006713,0.075483,0.010285,0.022009,-0.009359,-0.038902,0.008529,0.090507,1.000000,0.000051,0.000110,-0.000047,0.217247,0.205466,0.002112,-0.954245,5.319238,23.144281,-153.258923
22846,-3.882113,0.831073,9.072498,-0.017386,0.007118,0.090410,0.016054,0.021970,-0.010700,-0.038811,0.008306,0.090730,1.000000,0.000080,0.000110,-0.000053,0.217229,0.205564,0.002092,-0.954228,5.324197,23.154964,-153.258982
22847,-3.909556,0.805542,9.031355,0.008394,0.045696,0.061356,0.027139,0.023300,-0.010454,-0.039085,0.008045,0.090319,1.000000,0.000136,0.000117,-0.000052,0.217203,0.205680,0.002024,-0.954209,5.335318,23.166318,-153.258620
22848,-3.887351,0.810539,9.072474,-0.026436,0.029063,0.090681,0.030139,0.022146,-0.009155,-0.038863,0.008093,0.090730,1.000000,0.000151,0.000111,-0.000046,0.217188,0.205792,0.001937,-0.954188,5.348726,23.176884,-153.256562
22849,-3.921453,0.837605,9.060291,0.015381,0.020884,0.095268,0.027898,0.014625,-0.009515,-0.039208,0.008365,0.090607,1.000000,0.000139,0.000073,-0.000048,0.217166,0.205867,0.001855,-0.954177,5.360315,23.183239,-153.256117
22850,-3.881740,0.811888,9.037437,-0.021076,0.031164,0.056503,0.033591,0.019589,-0.010775,-0.038808,0.008106,0.090380,1.000000,0.000168,0.000098,-0.000054,0.217170,0.205971,0.001758,-0.954154,5.375196,23.192401,-153.251562
22851,-3.892424,0.817776,9.069649,-0.024778,0.028650,0.090687,0.032469,0.015830,-0.010951,-0.038917,0.008165,0.090701,1.000000,0.000162,0.000079,-0.000055,0.217136,0.206057,0.001656,-0.954144,5.389082,23.199520,-153.251933
22852,-3.893899,0.820153,9.068801,-0.024245,0.028544,0.090688,0.031113,0.014347,-0.015054,-0.038932,0.008190,0.090692,1.000000,0.000156,0.000072,-0.000075,0.217079,0.206134,0.001560,-0.954140,5.401465,23.206016,-153.255436
22853,-3.898257,0.750028,9.074476,-0.054191,0.094980,0.091510,0.040658,0.017197,-0.010012,-0.038974,0.007484,0.090750,1.000000,0.000203,0.000086,-0.000050,0.217042,0.206235,0.001420,-0.954127,5.420306,23.213864,-153.255141
22854,-3.890993,0.750289,9.040265,-0.049407,0.097238,0.057331,0.046580,0.019893,-0.007335,-0.038901,0.007483,0.090408,1.000000,0.000233,0.000099,-0.000037,0.217038,0.206354,0.001255,-0.954102,5.443531,23.223011,-153.249662
22855,-3.889896,0.759324,9.093332,-0.070778,0.086435,0.106187,0.052382,0.023730,-0.006617,-0.038888,0.007571,0.090940,1.000000,0.000262,0.000119,-0.000033,0.217004,0.206499,0.001063,-0.954079,5.470077,23.234400,-153.246865
22856,-3.878438,0.882494,9.047630,-0.015139,-0.022269,0.070630,0.063108,0.025362,-0.001443,-0.038773,0.008797,0.090484,1.000000,0.000316,0.000127,-0.000007,0.216968,0.206664,0.000810,-0.954051,5.504348,23.246505,-153.242639
22857,-3.923957,0.935139,9.011543,0.054540,-0.044308,0.060250,0.051484,0.017712,-0.002838,-0.039231,0.009329,0.090121,1.000000,0.000257,0.000089,-0.000014,0.216953,0.206779,0.000611,-0.954030,5.531168,23.254252,-153.237843
22858,-3.866041,0.990364,9.057346,0.008991,-0.119567,0.084193,0.042671,0.015039,-0.004836,-0.038653,0.009885,0.090578,1.000000,0.000213,0.000075,-0.000024,0.216910,0.206873,0.000445,-0.954020,5.552707,23.260666,-153.237744
22859,-3.945826,0.993073,9.017124,0.089417,-0.083009,0.079197,0.035747,0.007444,-0.005719,-0.039455,0.009916,0.090174,1.000000,0.000179,0.000037,-0.000029,0.216898,0.206922,0.000313,-0.954012,5.569564,23.262713,-153.235351
22860,-3.888907,0.998241,9.067975,0.023577,-0.113895,0.103700,0.028014,0.004665,-0.009576,-0.038886,0.009972,0.090682,1.000000,0.000140,0.000023,-0.000048,0.216912,0.206949,0.000225,-0.954003,5.581189,23.263276,-153.231142
22861,-3.911700,1.045749,9.020749,0.079848,-0.141818,0.073789,0.024974,0.001952,-0.012907,-0.039115,0.010449,0.090209,1.000000,0.000125,0.000010,-0.000065,0.216876,0.206959,0.000146,-0.954009,5.589980,23.262591,-153.233543
22862,-3.911847,1.047012,9.020539,0.080377,-0.141905,0.073783,0.015554,-0.002050,-0.015992,-0.039119,0.010466,0.090206,1.000000,0.000078,-0.000010,-0.000080,0.216804,0.206942,0.000101,-0.954029,5.592926,23.259844,-153.241878
22863,-3.924664,1.021450,9.001760,0.088420,-0.111558,0.059383,0.006594,-0.007468,-0.021999,-0.039249,0.010216,0.090016,1.000000,0.000033,-0.000037,-0.000110,0.216744,0.206888,0.000109,-0.954054,5.588732,23.254296,-153.250494
22864,-3.933529,1.024328,9.035046,0.084736,-0.113999,0.093562,-0.002592,-0.001009,-0.017032,-0.039335,0.010248,0.090350,1.000000,-0.000013,-0.000005,-0.000085,0.216676,0.206855,0.000149,-0.954077,5.581139,23.252048,-153.260596
22865,-3.914151,0.972677,9.027759,0.051490,-0.075693,0.074614,-0.008853,-0.003431,-0.014820,-0.039142,0.009734,0.090276,1.000000,-0.000044,-0.000017,-0.000074,0.216666,0.206804,0.000228,-0.954090,5.569952,23.248400,-153.264510
22866,-3.884164,0.874007,9.046294,-0.019852,-0.001315,0.070918,-0.004543,-0.006946,-0.011435,-0.038844,0.008744,0.090461,1.000000,-0.000023,-0.000035,-0.000057,0.216675,0.206742,0.000279,-0.954102,5.562210,23.242701,-153.265727
22867,-3.882031,0.921914,9.041926,0.001105,-0.045821,0.070349,-0.003157,-0.001582,-0.005297,-0.038821,0.009222,0.090419,1.000000,-0.000016,-0.000008,-0.000026,0.216705,0.206706,0.000322,-0.954103,5.556664,23.239578,-153.263617
22868,-3.881022,0.945805,9.039727,0.011848,-0.068102,0.070063,-0.002423,-0.001401,-0.002260,-0.038811,0.009460,0.090397,1.000000,-0.000012,-0.000007,-0.000011,0.216750,0.206672,0.000357,-0.954100,5.552588,23.236396,-153.259401
22869,-3.914267,0.945713,9.030673,0.043496,-0.054007,0.074885,-0.006498,-0.000155,-0.001716,-0.039143,0.009460,0.090306,1.000000,-0.000032,-0.000001,-0.000009,0.216800,0.206639,0.000414,-0.954095,5.546038,23.233889,-153.254982
22870,-3.895703,0.870134,9.025638,0.000002,0.006513,0.056240,-0.010951,-0.002495,0.001683,-0.038958,0.008706,0.090255,1.000000,-0.000055,-0.000012,0.000008,0.216871,0.206589,0.000484,-0.954090,5.538078,23.229728,-153.248670
22871,-3.915799,0.895753,9.035497,0.024202,-0.009875,0.075456,-0.000275,-0.001595,-0.005956,-0.039158,0.008959,0.090355,1.000000,-0.000001,-0.000008,-0.000030,0.216895,0.206556,0.000514,-0.954092,5.534022,23.226635,-153.246969
22872,-3.902625,0.921174,9.054453,0.017339,-0.040484,0.089849,-0.001624,-0.003092,-0.010064,-0.039027,0.009214,0.090544,1.000000,-0.000008,-0.000015,-0.000050,0.216962,0.206513,0.000566,-0.954086,5.528265,23.222843,-153.240447
22873,-3.882391,0.894624,9.044743,-0.005748,-0.024391,0.070635,0.000837,0.002173,-0.005775,-0.038823,0.008947,0.090448,1.000000,0.000004,0.000011,-0.000029,0.216986,0.206499,0.000595,-0.954083,5.524979,23.221890,-153.238406
22874,-3.881476,0.918561,9.042505,0.005014,-0.046657,0.070344,0.000982,-0.004699,-0.016679,-0.038816,0.009188,0.090424,1.000000,0.000005,-0.000023,-0.000083,0.216955,0.206453,0.000624,-0.954100,5.519283,23.217580,-153.243780
22875,-3.912755,0.966878,9.028987,0.057093,-0.076878,0.074574,-0.002359,-0.003272,-0.013098,-0.039128,0.009672,0.090289,1.000000,-0.000012,-0.000016,-0.000065,0.216947,0.206409,0.000670,-0.954112,5.512245,23.213924,-153.246610
22876,-3.893152,0.915511,9.021721,0.023795,-0.038554,0.055655,-0.004783,-0.004672,-0.015356,-0.038933,0.009160,0.090216,1.000000,-0.000024,-0.000023,-0.000077,0.216966,0.206355,0.000733,-0.954119,5.503545,23.209343,-153.246606
22877,-3.880635,0.916038,9.043122,0.006724,-0.047027,0.070341,-0.003133,-0.007315,-0.018158,-0.038809,0.009165,0.090430,1.000000,-0.000016,-0.000037,-0.000091,0.216935,0.206291,0.000783,-0.954140,5.494733,23.203658,-153.252816
22878,-3.907218,0.839012,9.007939,0.011841,0.035988,0.041845,-0.007052,-0.003342,-0.013621,-0.039073,0.008396,0.090078,1.000000,-0.000035,-0.000017,-0.000068,0.216997,0.206242,0.000867,-0.954136,5.484897,23.200059,-153.247857
22879,-3.904881,0.819027,9.064607,-0.019663,0.047278,0.091018,0.004017,-0.001977,-0.013343,-0.039049,0.008191,0.090646,1.000000,0.000020,-0.000010,-0.000067,0.216981,0.206212,0.000884,-0.954146,5.481486,23.197154,-153.250759
22880,-3.883695,0.817237,9.052590,-0.032559,0.041223,0.071522,0.008249,-0.000491,-0.009896,-0.038837,0.008171,0.090526,1.000000,0.000041,-0.000002,-0.000049,0.217008,0.206193,0.000883,-0.954144,5.481651,23.194854,-153.247755
22881,-3.904133,0.844208,9.062191,-0.008327,0.024863,0.090724,0.015977,0.002299,-0.006039,-0.039040,0.008436,0.090623,1.000000,0.000080,0.000011,-0.000030,0.217015,0.206196,0.000841,-0.954142,5.486978,23.193987,-153.245869
22882,-3.900937,0.942621,9.052808,0.033192,-0.063865,0.089534,0.015518,0.003712,-0.003119,-0.039008,0.009420,0.090530,1.000000,0.000078,0.000019,-0.000016,0.217032,0.206205,0.000795,-0.954136,5.493132,23.193715,-153.242514
22883,-3.903174,0.895340,9.057038,0.013264,-0.019693,0.090129,0.017086,0.006069,-0.005856,-0.039029,0.008947,0.090572,1.000000,0.000085,0.000030,-0.000029,0.217038,0.206228,0.000751,-0.954130,5.499227,23.194988,-153.240290
22884,-3.895775,0.869075,9.025709,0.007738,0.004741,0.056238,0.020003,0.009924,-0.004486,-0.038953,0.008683,0.090260,1.000000,0.000100,0.000050,-0.000022,0.217083,0.206272,0.000701,-0.954110,5.507612,23.198417,-153.232740
22885,-3.869787,0.946769,9.060540,0.003824,-0.078572,0.084727,0.022268,0.008598,-0.006214,-0.038694,0.009459,0.090608,1.000000,0.000111,0.000043,-0.000031,0.217083,0.206312,0.000636,-0.954102,5.516649,23.201151,-153.230586
22886,-3.926363,0.994038,9.004055,0.091221,-0.091923,0.059529,0.015889,0.007304,-0.005966,-0.039260,0.009934,0.090043,1.000000,0.000079,0.000037,-0.000030,0.217138,0.206336,0.000606,-0.954084,5.522390,23.202814,-153.222588
22887,-3.906623,0.968705,8.994015,0.068091,-0.075865,0.040332,0.011503,0.003086,-0.013400,-0.039064,0.009684,0.089941,1.000000,0.000058,0.000015,-0.000067,0.217114,0.206338,0.000593,-0.954089,5.523372,23.202800,-153.225223
22888,-3.883589,0.947885,9.038406,0.023131,-0.070522,0.070026,0.005860,0.001972,-0.010120,-0.038835,0.009478,0.090385,1.000000,0.000029,0.000010,-0.000051,0.217076,0.206329,0.000591,-0.954099,5.522302,23.202017,-153.230095
22889,-3.905572,0.925544,9.052736,0.026872,-0.042555,0.089819,0.005789,-0.005759,-0.014170,-0.039058,0.009256,0.090527,1.000000,0.000029,-0.000029,-0.000071,0.217055,0.206283,0.000597,-0.954114,5.519614,23.197002,-153.233739
22890,-3.873991,0.876414,9.066510,-0.024163,-0.012678,0.085634,-0.001096,0.003223,-0.008921,-0.038738,0.008766,0.090666,1.000000,-0.000005,0.000016,-0.000045,0.217064,0.206272,0.000637,-0.954115,5.514806,23.196795,-153.233612
22891,-3.897260,0.829844,9.082961,-0.030701,0.037431,0.105736,0.011162,0.003368,-0.008517,-0.038971,0.008295,0.090831,1.000000,0.000056,0.000017,-0.000043,0.217064,0.206275,0.000621,-0.954114,5.516793,23.196674,-153.233201
22892,-3.900013,0.850137,9.026046,0.001855,0.025957,0.056540,0.018765,0.007302,-0.006617,-0.038997,0.008494,0.090263,1.000000,0.000094,0.000037,-0.000033,0.217047,0.206306,0.000564,-0.954111,5.524087,23.198772,-153.233490
22893,-3.887748,0.877648,9.044402,-0.004919,-0.004703,0.070936,0.021306,0.007573,-0.002393,-0.038874,0.008767,0.090446,1.000000,0.000107,0.000038,-0.000012,0.217066,0.206340,0.000497,-0.954100,5.533483,23.200710,-153.229027
22894,-3.874675,0.929688,9.060384,-0.001462,-0.057493,0.085023,0.020846,0.008988,0.000525,-0.038743,0.009287,0.090607,1.000000,0.000104,0.000045,0.000003,0.217086,0.206382,0.000428,-0.954086,5.543599,23.203517,-153.224175
22895,-3.919931,0.954500,9.027291,0.058022,-0.057067,0.074794,0.020690,0.006258,-0.003459,-0.039196,0.009536,0.090275,1.000000,0.000103,0.000031,-0.000017,0.217100,0.206409,0.000364,-0.954077,5.552351,23.204763,-153.220452
22896,-3.875075,0.957400,9.057162,0.009917,-0.079887,0.084712,0.019341,0.004758,-0.007561,-0.038748,0.009567,0.090573,1.000000,0.000097,0.000024,-0.000038,0.217088,0.206428,0.000306,-0.954075,5.559599,23.205445,-153.220267
22897,-3.901605,0.906905,9.019169,0.025113,-0.018994,0.055921,0.012661,0.007604,-0.000419,-0.039013,0.009063,0.090194,1.000000,0.000063,0.000038,-0.000002,0.217125,0.206453,0.000279,-0.954062,5.564527,23.207289,-153.214576
22898,-3.909504,0.960216,9.047262,0.042041,-0.065812,0.089488,0.017653,0.003537,-0.006784,-0.039093,0.009596,0.090474,1.000000,0.000088,0.000018,-0.000034,0.217120,0.206466,0.000227,-0.954060,5.570878,23.207391,-153.213769
22899,-3.888768,0.959277,9.034977,0.029165,-0.071924,0.070000,0.011037,0.004504,-0.010469,-0.038885,0.009590,0.090351,1.000000,0.000055,0.000023,-0.000052,0.217111,0.206474,0.000215,-0.954060,5.572344,23.208026,-153.214500
22900,-3.858964,0.954401,8.989609,0.020419,-0.075567,0.016322,0.010423,0.003186,-0.011539,-0.038588,0.009542,0.089897,1.000000,0.000052,0.000016,-0.000058,0.217089,0.206475,0.000200,-0.954065,5.573553,23.207883,-153.216913
22901,-3.882183,0.907845,9.006133,0.013846,-0.025461,0.036431,0.003316,0.001699,-0.014333,-0.038820,0.009080,0.090062,1.000000,0.000017,0.000008,-0.000072,0.217069,0.206461,0.000226,-0.954073,5.569583,23.207133,-153.220211
22902,-3.924663,0.911754,9.030049,0.041260,-0.013595,0.075395,0.010510,-0.001813,-0.011596,-0.039247,0.009115,0.090301,1.000000,0.000053,-0.000009,-0.000058,0.217019,0.206440,0.000199,-0.954089,5.570769,23.204252,-153.226262
22903,-3.923659,0.936227,9.027750,0.052115,-0.035871,0.075077,0.005669,-0.004627,-0.016115,-0.039238,0.009363,0.090277,1.000000,0.000028,-0.000023,-0.000081,0.216988,0.206398,0.000209,-0.954105,5.567562,23.199993,-153.231049
22904,-3.871588,0.861244,9.032011,-0.022713,0.010063,0.051771,0.007508,-0.000670,-0.012902,-0.038716,0.008612,0.090320,1.000000,0.000038,-0.000003,-0.000065,0.217005,0.206379,0.000216,-0.954105,5.566447,23.197892,-153.229483
22905,-3.893876,0.839548,9.046173,-0.019011,0.038027,0.071570,0.016453,0.004778,-0.006895,-0.038936,0.008389,0.090463,1.000000,0.000082,0.000024,-0.000034,0.217007,0.206394,0.000175,-0.954101,5.571897,23.198484,-153.227980
22906,-3.881429,0.866915,9.064604,-0.025758,0.007387,0.085967,0.021138,0.004862,-0.006357,-0.038812,0.008661,0.090648,1.000000,0.000106,0.000024,-0.000032,0.217005,0.206416,0.000108,-0.954097,5.580433,23.199134,-153.226379
22907,-3.859195,0.915489,9.047442,-0.018034,-0.043003,0.065852,0.026314,0.007400,-0.006710,-0.038588,0.009144,0.090477,1.000000,0.000132,0.000037,-0.000034,0.216998,0.206454,0.000022,-0.954091,5.591640,23.201211,-153.224602
22908,-3.894323,0.893497,9.040020,0.003217,-0.006632,0.070935,0.023956,0.013730,-0.004926,-0.038937,0.008925,0.090404,1.000000,0.000120,0.000069,-0.000025,0.217027,0.206521,-0.000042,-0.954069,5.602199,23.206935,-153.218169
22909,-3.896905,0.938987,8.980264,0.046103,-0.040208,0.021384,0.026954,0.012593,-0.003611,-0.038963,0.009378,0.089806,1.000000,0.000135,0.000063,-0.000018,0.217034,0.206585,-0.000129,-0.954054,5.614656,23.211799,-153.214152
22910,-3.882019,0.972200,9.052611,0.017675,-0.081672,0.084687,0.020703,0.010153,-0.001412,-0.038816,0.009713,0.090529,1.000000,0.000104,0.000051,-0.000007,0.217054,0.206632,-0.000193,-0.954039,5.624283,23.215230,-153.209413
22911,-3.907310,0.970516,9.009677,0.053388,-0.064999,0.055250,0.017121,0.013842,-0.001772,-0.039067,0.009698,0.090100,1.000000,0.000086,0.000069,-0.000009,0.217080,0.206691,-0.000233,-0.954020,5.631587,23.220702,-153.204176
22912,-3.895149,0.997900,9.027943,0.046709,-0.095616,0.069641,0.016689,0.002519,-0.002953,-0.038950,0.009972,0.090281,1.000000,0.000083,0.000013,-0.000015,0.217127,0.206695,-0.000279,-0.954009,5.638376,23.219645,-153.197155
22913,-3.903796,1.026502,9.058418,0.053484,-0.120300,0.103508,0.004199,0.004617,-0.007310,-0.039035,0.010265,0.090585,1.000000,0.000021,0.000023,-0.000037,0.217140,0.206696,-0.000262,-0.954006,5.636700,23.220168,-153.195918
22914,-3.899250,0.901535,9.037098,0.006520,-0.007363,0.070933,0.001442,0.003489,-0.004697,-0.038991,0.009016,0.090372,1.000000,0.000007,0.000017,-0.000023,0.217144,0.206690,-0.000244,-0.954006,5.634412,23.219927,-153.195942
22915,-3.897082,0.974176,9.029799,0.038061,-0.073867,0.069956,-0.000976,0.002078,-0.006958,-0.038970,0.009744,0.090298,1.000000,-0.000005,0.000010,-0.000035,0.217164,0.206674,-0.000205,-0.954005,5.629796,23.218982,-153.194642
22916,-3.876914,0.947378,9.020204,0.014787,-0.057860,0.050806,-0.005199,0.000575,-0.010410,-0.038768,0.009478,0.090202,1.000000,-0.000026,0.000003,-0.000052,0.217142,0.206648,-0.000152,-0.954016,5.622174,23.217621,-153.199053
22917,-3.863990,0.972424,9.039056,0.008121,-0.088540,0.065199,-0.005229,-0.003294,-0.012428,-0.038641,0.009729,0.090390,1.000000,-0.000026,-0.000016,-0.000062,0.217140,0.206601,-0.000093,-0.954026,5.613654,23.213920,-153.201475
22918,-3.918359,0.973114,9.042051,0.053149,-0.068228,0.089418,-0.012576,-0.002526,-0.019153,-0.039184,0.009741,0.090419,1.000000,-0.000063,-0.000013,-0.000096,0.217140,0.206550,0.000012,-0.954037,5.599551,23.210970,-153.204867
22919,-3.920747,0.898587,9.049419,0.022709,-0.002020,0.090402,-0.008965,-0.002342,-0.016769,-0.039208,0.008993,0.090493,1.000000,-0.000045,-0.000012,-0.000084,0.217121,0.206504,0.000094,-0.954052,5.587853,23.208054,-153.209922
22920,-3.898509,0.919233,9.035338,0.020155,-0.030209,0.070600,-0.015824,-0.006106,-0.015644,-0.038987,0.009203,0.090351,1.000000,-0.000079,-0.000031,-0.000078,0.217122,0.206431,0.000202,-0.954067,5.572783,23.202763,-153.213576
22921,-3.919418,0.919098,9.047638,0.034170,-0.024352,0.090068,-0.013192,-0.003841,-0.020215,-0.039195,0.009201,0.090475,1.000000,-0.000066,-0.000019,-0.000101,0.217091,0.206373,0.000307,-0.954087,5.557787,23.199181,-153.220858
22922,-3.899548,0.866904,9.040720,0.000564,0.013733,0.071260,-0.007925,-0.006300,-0.020622,-0.038997,0.008677,0.090406,1.000000,-0.000040,-0.000031,-0.000103,0.217104,0.206310,0.000394,-0.954097,5.545748,23.194345,-153.222380
22923,-3.919727,0.891691,9.050543,0.024923,-0.002518,0.090396,-0.005019,-0.002434,-0.019252,-0.039198,0.008923,0.090505,1.000000,-0.000025,-0.000012,-0.000096,0.217070,0.206268,0.000460,-0.954114,5.535704,23.191509,-153.228978
22924,-3.876453,0.911012,9.024379,0.008965,-0.036735,0.051126,-0.004560,-0.003846,-0.022160,-0.038765,0.009116,0.090243,1.000000,-0.000023,-0.000019,-0.000111,0.217099,0.206217,0.000540,-0.954119,5.525336,23.187758,-153.228109
22925,-3.932411,0.863260,9.032104,0.033262,0.027793,0.075998,-0.002878,-0.002619,-0.022928,-0.039324,0.008638,0.090320,1.000000,-0.000014,-0.000013,-0.000115,0.217044,0.206176,0.000600,-0.954140,5.515618,23.185017,-153.236997
22926,-3.883766,0.960739,9.053085,0.026665,-0.083657,0.084650,-0.004439,-0.004977,-0.020194,-0.038839,0.009613,0.090530,1.000000,-0.000022,-0.000025,-0.000101,0.216988,0.206124,0.000656,-0.954164,5.505823,23.181012,-153.246254
22927,-3.884942,0.910883,9.058127,0.006511,-0.039593,0.085320,-0.005664,-0.007615,-0.022329,-0.038852,0.009116,0.090580,1.000000,-0.000028,-0.000038,-0.000112,0.216940,0.206056,0.000723,-0.954189,5.494540,23.175386,-153.255066
22928,-3.877058,0.857343,9.030036,-0.009582,0.006939,0.051795,-0.007444,-0.003838,-0.021498,-0.038771,0.008581,0.090299,1.000000,-0.000037,-0.000019,-0.000107,0.216903,0.206005,0.000801,-0.954209,5.482768,23.171849,-153.262289
22929,-3.898207,0.858119,9.042136,0.004428,0.012805,0.071261,0.002413,-0.001201,-0.021312,-0.038982,0.008584,0.090421,1.000000,0.000012,-0.000006,-0.000107,0.216851,0.205976,0.000834,-0.954227,5.476513,23.169822,-153.270087
22930,-3.885583,0.883485,9.060862,-0.002186,-0.017867,0.085656,-0.000775,0.002944,-0.013774,-0.038854,0.008838,0.090609,1.000000,-0.000004,0.000015,-0.000069,0.216907,0.205964,0.000894,-0.954217,5.470544,23.169710,-153.264639
22931,-3.875270,0.927982,9.022926,0.023203,-0.059768,0.050778,0.003023,0.000121,-0.020240,-0.038752,0.009282,0.090229,1.000000,0.000015,0.000001,-0.000101,0.216860,0.205942,0.000925,-0.954232,5.464931,23.168377,-153.271692
22932,-3.886692,0.949812,8.999461,0.051681,-0.073491,0.035700,-0.004292,-0.002240,-0.016206,-0.038867,0.009503,0.089994,1.000000,-0.000021,-0.000011,-0.000081,0.216892,0.205901,0.000993,-0.954234,5.456348,23.165352,-153.269952
22933,-3.860996,0.908537,9.100875,-0.025177,-0.057279,0.114787,-0.010175,-0.001103,-0.016861,-0.038610,0.009093,0.091008,1.000000,-0.000051,-0.000006,-0.000084,0.216874,0.205859,0.001083,-0.954246,5.443970,23.163135,-153.274981
22934,-3.855876,0.782339,9.079607,-0.072469,0.055538,0.082300,-0.003782,0.004083,-0.015077,-0.038556,0.007828,0.090797,1.000000,-0.000019,0.000020,-0.000075,0.216889,0.205849,0.001149,-0.954245,5.436185,23.163631,-153.274893
22935,-3.879127,0.827368,9.032372,-0.016092,0.028141,0.052142,0.008410,0.006139,-0.003854,-0.038788,0.008271,0.090325,1.000000,0.000042,0.000031,-0.000019,0.216914,0.205862,0.001144,-0.954237,5.437798,23.164838,-153.271423
22936,-3.877566,0.900914,9.024914,0.015629,-0.038229,0.051112,0.011163,0.007275,-0.006463,-0.038772,0.009005,0.090251,1.000000,0.000056,0.000036,-0.000032,0.216965,0.205883,0.001137,-0.954221,5.440666,23.166755,-153.264420
22937,-3.896532,1.000398,9.027037,0.071226,-0.120695,0.069191,0.005406,0.007274,-0.005161,-0.038962,0.010003,0.090272,1.000000,0.000027,0.000036,-0.000026,0.216987,0.205898,0.001149,-0.954212,5.440266,23.168680,-153.261693
22938,-3.850736,1.026083,9.054856,0.033683,-0.165869,0.078863,-0.003891,-0.001780,-0.008310,-0.038508,0.010264,0.090548,1.000000,-0.000019,-0.000009,-0.000042,0.217003,0.205860,0.001197,-0.954217,5.433822,23.165618,-153.261437
22939,-3.875574,0.997289,9.015101,0.058892,-0.126967,0.049722,-0.012192,-0.002057,-0.011223,-0.038756,0.009981,0.090150,1.000000,-0.000061,-0.000010,-0.000056,0.217015,0.205812,0.001289,-0.954225,5.421643,23.162549,-153.263023
22940,-3.931160,0.948599,9.023029,0.083112,-0.062315,0.074583,-0.022075,-0.008563,-0.013421,-0.039315,0.009499,0.090228,1.000000,-0.000110,-0.000043,-0.000067,0.217096,0.205720,0.001436,-0.954226,5.403426,23.155627,-153.257819
22941,-3.865335,0.897158,9.046657,0.000925,-0.047334,0.065848,-0.023425,-0.010063,-0.017511,-0.038657,0.008986,0.090464,1.000000,-0.000117,-0.000050,-0.000088,0.217089,0.205621,0.001580,-0.954248,5.383094,23.148329,-153.263772
22942,-3.899258,0.846055,9.042820,0.011614,0.011255,0.071257,-0.019351,-0.011286,-0.018039,-0.038997,0.008473,0.090425,1.000000,-0.000097,-0.000056,-0.000090,0.217076,0.205521,0.001700,-0.954273,5.365265,23.140320,-153.269964
22943,-3.876537,0.866050,9.029065,0.009126,-0.017009,0.051451,-0.020551,-0.010056,-0.018154,-0.038769,0.008673,0.090288,1.000000,-0.000103,-0.000050,-0.000091,0.217062,0.205425,0.001831,-0.954296,5.346427,23.133057,-153.276310
22944,-3.910555,0.815374,9.025121,0.019789,0.041614,0.056860,-0.013446,-0.008551,-0.015362,-0.039109,0.008163,0.090249,1.000000,-0.000067,-0.000043,-0.000077,0.217040,0.205345,0.001919,-0.954318,5.332911,23.126437,-153.282495
22945,-3.894802,0.820731,9.100936,-0.018716,0.022026,0.120554,-0.006951,-0.008364,-0.013641,-0.038951,0.008213,0.091007,1.000000,-0.000035,-0.000042,-0.000068,0.217034,0.205272,0.001982,-0.954335,5.323007,23.119896,-153.285939
22946,-3.919287,0.792326,9.061255,0.006397,0.060959,0.091412,0.001250,-0.003086,-0.010675,-0.039194,0.007925,0.090612,1.000000,0.000006,-0.000015,-0.000053,0.217086,0.205234,0.002018,-0.954332,5.318782,23.116289,-153.281039
22947,-3.884453,0.840796,9.065769,-0.003161,0.002118,0.086003,0.006548,-0.001674,-0.009074,-0.038845,0.008407,0.090658,1.000000,0.000033,-0.000008,-0.000045,0.217088,0.205208,0.002019,-0.954337,5.317877,23.113322,-153.281262
22948,-3.896599,0.839686,9.044559,0.014923,0.010538,0.071253,0.014598,0.000879,-0.010082,-0.038965,0.008392,0.090446,1.000000,0.000073,0.000004,-0.000050,0.217099,0.205200,0.001988,-0.954336,5.321678,23.111543,-153.279251
