PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
10119,-9.722242,-0.406609,-1.141482,-0.321906,-0.483498,-0.032457,-0.042898,0.076519,0.039755,-0.097226,-0.004088,-0.011377,1.000000,-0.000214,0.000383,0.000199,-0.021293,0.757308,0.043785,-0.651241,-149.383659,79.903749,32.446053
10120,-9.826348,-0.825929,-1.458436,-0.046800,-0.064975,0.155256,-0.032007,0.047913,0.018432,-0.098266,-0.008271,-0.014559,1.000000,-0.000160,0.000240,0.000092,-0.021115,0.757475,0.043819,-0.651050,-149.534564,79.885080,32.312369
10121,-9.774576,-0.673766,-1.356232,-0.138163,-0.214051,0.075222,0.133920,0.035679,-0.000817,-0.097748,-0.006728,-0.013549,1.000000,0.000670,0.000178,-0.000004,-0.021626,0.757581,0.043387,-0.650939,-149.516935,79.866552,32.253305
10122,-9.685314,-0.460354,-1.135258,-0.337374,-0.424551,-0.065279,0.046899,0.018254,0.000282,-0.096854,-0.004601,-0.011345,1.000000,0.000234,0.000091,0.000001,-0.021800,0.757639,0.043236,-0.650876,-149.523762,79.857227,32.220044
10123,-9.614112,-0.722193,-1.488304,0.010021,-0.149076,-0.058435,-0.078141,0.023636,-0.006348,-0.096143,-0.007225,-0.014869,1.000000,-0.000391,0.000118,-0.000032,-0.021523,0.757727,0.043516,-0.650763,-149.592777,79.843106,32.196393
10124,-9.617775,-1.040978,-1.807966,0.310060,0.175709,0.022299,-0.042681,0.028627,-0.008736,-0.096181,-0.010409,-0.018064,1.000000,-0.000213,0.000143,-0.000044,-0.021389,0.757826,0.043690,-0.650641,-149.642659,79.826031,32.171532
10125,-9.596152,-1.069603,-1.742096,0.243836,0.203559,-0.006353,0.051396,0.037012,-0.010109,-0.095965,-0.010687,-0.017406,1.000000,0.000257,0.000185,-0.000051,-0.021618,0.757943,0.043562,-0.650505,-149.648541,79.804180,32.136614
10126,-9.596586,-0.953374,-1.705881,0.209469,0.084923,-0.021757,0.070506,0.034445,-0.009201,-0.095969,-0.009523,-0.017046,1.000000,0.000353,0.000172,-0.000046,-0.021916,0.758049,0.043368,-0.650385,-149.641505,79.784092,32.103689
10127,-9.616596,-1.105909,-1.865432,0.356023,0.235981,0.036138,0.088588,0.029603,-0.013042,-0.096169,-0.011045,-0.018645,1.000000,0.000443,0.000148,-0.000065,-0.022294,0.758138,0.043131,-0.650285,-149.606036,79.765008,32.089129
10128,-9.550526,-0.999839,-1.660797,0.167108,0.128484,-0.069688,0.207624,0.012746,-0.009101,-0.095507,-0.009977,-0.016612,0.999999,0.001038,0.000064,-0.000046,-0.023107,0.758157,0.042493,-0.650276,-149.485911,79.755677,32.091285
10129,-9.523691,-0.768913,-1.265437,-0.211374,-0.109907,-0.177518,0.184085,0.018826,0.004577,-0.095238,-0.007680,-0.012652,1.000000,0.000920,0.000094,0.000023,-0.023787,0.758203,0.041880,-0.650238,-149.426703,79.746997,32.045248
10130,-9.582607,-0.865753,-1.501898,0.008856,-0.016058,-0.074554,0.052442,0.027133,0.000319,-0.095828,-0.008654,-0.015008,1.000000,0.000262,0.000136,0.000002,-0.023984,0.758288,0.041709,-0.650142,-149.444428,79.733312,31.997672
10131,-9.600549,-0.980867,-1.681444,0.177234,0.098861,-0.018877,0.085289,0.037186,-0.000368,-0.096009,-0.009801,-0.016801,1.000000,0.000426,0.000186,-0.000002,-0.024310,0.758403,0.041434,-0.650013,-149.457738,79.714159,31.935460
10132,-9.626149,-0.698876,-1.237736,-0.258841,-0.193261,-0.087523,0.130336,0.033590,0.002094,-0.096263,-0.006982,-0.012366,1.000000,0.000652,0.000168,0.000010,-0.024797,0.758500,0.041003,-0.649909,-149.445830,79.697802,31.872636
10133,-9.562230,-0.612484,-1.165515,-0.321054,-0.275174,-0.169503,-0.005176,0.038176,-0.001781,-0.095625,-0.006124,-0.011637,1.000000,-0.000026,0.000191,-0.000009,-0.024785,0.758629,0.041027,-0.649757,-149.508469,79.677757,31.812958
10134,-9.583797,-0.882639,-1.423710,-0.081721,-0.003778,-0.083943,-0.092999,0.040389,-0.001423,-0.095841,-0.008832,-0.014214,1.000000,-0.000465,0.000202,-0.000007,-0.024438,0.758775,0.041334,-0.649580,-149.625397,79.656998,31.749238
10135,-9.680933,-1.126800,-1.528952,-0.004424,0.232721,0.050053,-0.057702,0.028658,-0.001099,-0.096812,-0.011272,-0.015272,1.000000,-0.000289,0.000143,-0.000005,-0.024222,0.758880,0.041526,-0.649454,-149.704324,79.641870,31.703591
10136,-9.629387,-1.151512,-1.513967,-0.015091,0.262495,-0.000754,-0.033083,0.018979,-0.000770,-0.096295,-0.011517,-0.015129,1.000000,-0.000165,0.000095,-0.000004,-0.024096,0.758949,0.041639,-0.649371,-149.754364,79.631861,31.672964
10137,-9.674741,-1.170429,-1.613347,0.073224,0.279205,0.061019,-0.021890,0.018060,0.001601,-0.096749,-0.011707,-0.016123,1.000000,-0.000109,0.000090,0.000008,-0.024005,0.759015,0.041707,-0.649293,-149.802906,79.622724,31.637338
10138,-9.762056,-1.052848,-1.731713,0.179143,0.156170,0.154688,0.035567,0.008723,0.004083,-0.097621,-0.010527,-0.017315,1.000000,0.000178,0.000044,0.000020,-0.024122,0.759043,0.041579,-0.649264,-149.810478,79.619186,31.609894
10139,-9.647948,-0.813495,-1.551310,0.025789,-0.074880,-0.007334,0.082748,0.005193,0.005994,-0.096480,-0.008131,-0.015514,1.000000,0.000414,0.000026,0.000030,-0.024412,0.759056,0.041292,-0.649256,-149.790531,79.617649,31.582946
10140,-9.566767,-0.659048,-1.497865,-0.009946,-0.222033,-0.109514,0.033530,0.006066,0.007624,-0.095668,-0.006592,-0.014977,1.000000,0.000168,0.000030,0.000038,-0.024508,0.759076,0.041158,-0.649237,-149.804655,79.616447,31.550028
10141,-9.658624,-0.756843,-1.742657,0.213201,-0.128468,0.027877,-0.009552,0.023127,0.015115,-0.096588,-0.007577,-0.017415,1.000000,-0.000048,0.000116,0.000076,-0.024422,0.759160,0.041134,-0.649143,-149.890507,79.608662,31.469278
10142,-9.717440,-1.008945,-1.567860,0.021935,0.115610,0.081298,0.019237,0.012772,0.017591,-0.097175,-0.010096,-0.015673,1.000000,0.000096,0.000064,0.000088,-0.024433,0.759206,0.041007,-0.649097,-149.950221,79.606985,31.398335
10143,-9.581742,-1.055169,-1.525013,-0.002315,0.175385,-0.054714,-0.002047,0.014348,0.020540,-0.095817,-0.010562,-0.015243,1.000000,-0.000010,0.000072,0.000103,-0.024356,0.759262,0.040939,-0.649039,-150.032639,79.605060,31.316706
10144,-9.497599,-1.217949,-1.667220,0.144970,0.349807,-0.100632,0.007420,0.007363,0.025738,-0.094975,-0.012191,-0.016669,1.000000,0.000037,0.000037,0.000129,-0.024295,0.759294,0.040821,-0.649012,-150.112720,79.608364,31.231940
10145,-9.587091,-1.088785,-1.565145,0.034081,0.213218,-0.040236,0.094940,0.005091,0.032451,-0.095870,-0.010896,-0.015654,1.000000,0.000475,0.000025,0.000162,-0.024545,0.759310,0.040394,-0.649010,-150.157286,79.614371,31.132291
10146,-9.616087,-0.873371,-1.446790,-0.080284,-0.003667,-0.049560,0.071727,-0.003928,0.035128,-0.096159,-0.008745,-0.014473,1.000000,0.000359,-0.000020,0.000176,-0.024695,0.759299,0.040033,-0.649040,-150.208589,79.625933,31.039326
10147,-9.560318,-0.809977,-1.619277,0.101265,-0.056690,-0.083127,0.041176,-0.005876,0.032014,-0.095601,-0.008112,-0.016197,1.000000,0.000206,-0.000029,0.000160,-0.024741,0.759286,0.039784,-0.649068,-150.265857,79.637238,30.958100
10148,-9.544038,-0.717544,-1.570825,0.059381,-0.145921,-0.114945,0.086041,-0.004368,0.028626,-0.095439,-0.007182,-0.015713,1.000000,0.000430,-0.000022,0.000143,-0.024967,0.759270,0.039401,-0.649102,-150.290875,79.647144,30.883526
10149,-9.572973,-0.597644,-1.421120,-0.089010,-0.268169,-0.120487,0.059860,-0.002424,0.030737,-0.095729,-0.005987,-0.014214,1.000000,0.000299,-0.000012,0.000154,-0.025088,0.759266,0.039096,-0.649121,-150.339708,79.656346,30.799981
10150,-9.559300,-0.684472,-1.519651,0.008183,-0.176904,-0.110796,-0.017762,0.000010,0.022374,-0.095592,-0.006857,-0.015196,1.000000,-0.000089,0.000000,0.000112,-0.024941,0.759276,0.039073,-0.649116,-150.414149,79.662279,30.735628
10151,-9.564274,-0.803180,-1.676687,0.159253,-0.054910,-0.070853,0.000815,-0.003691,0.020964,-0.095642,-0.008042,-0.016769,1.000000,0.000004,-0.000018,0.000105,-0.024869,0.759273,0.038996,-0.649127,-150.468520,79.669347,30.680857
10152,-9.603421,-0.759126,-1.604865,0.084228,-0.101589,-0.047435,0.027598,-0.012424,0.017422,-0.096033,-0.007597,-0.016056,1.000000,0.000138,-0.000062,0.000087,-0.024908,0.759236,0.038846,-0.649178,-150.484303,79.680060,30.649713
10153,-9.595981,-0.813930,-1.473393,-0.045093,-0.046300,-0.070406,-0.017657,-0.007941,0.018574,-0.095958,-0.008150,-0.014737,1.000000,-0.000088,-0.000040,0.000093,-0.024773,0.759221,0.038839,-0.649201,-150.536365,79.688554,30.608064
10154,-9.608605,-1.006708,-1.648366,0.120818,0.149634,-0.013765,-0.061512,-0.007091,0.026713,-0.096084,-0.010085,-0.016484,1.000000,-0.000308,-0.000035,0.000134,-0.024444,0.759214,0.038942,-0.649215,-150.637131,79.699209,30.542439
10155,-9.633234,-1.168987,-1.713359,0.177228,0.312858,0.034751,-0.004121,-0.013024,0.022957,-0.096330,-0.011701,-0.017140,1.000000,-0.000021,-0.000065,0.000115,-0.024345,0.759181,0.038875,-0.649261,-150.685851,79.711449,30.496296
10156,-9.601789,-1.058298,-1.515542,-0.008620,0.204968,-0.036741,0.059111,-0.017860,0.028089,-0.096015,-0.010592,-0.015167,1.000000,0.000296,-0.000089,0.000140,-0.024468,0.759125,0.038583,-0.649340,-150.704920,79.727849,30.443467
10157,-9.575787,-0.854243,-1.468474,-0.043492,0.005654,-0.087467,0.054797,-0.018900,0.032587,-0.095755,-0.008554,-0.014696,1.000000,0.000274,-0.000095,0.000163,-0.024560,0.759068,0.038289,-0.649420,-150.737380,79.745684,30.379554
10158,-9.570669,-0.718474,-1.459241,-0.046243,-0.126741,-0.105727,0.051132,-0.017062,0.032825,-0.095704,-0.007197,-0.014602,1.000000,0.000256,-0.000085,0.000164,-0.024637,0.759016,0.038005,-0.649495,-150.775634,79.763000,30.311881
10159,-9.574124,-0.634247,-1.399008,-0.102438,-0.209291,-0.118924,0.047538,-0.014367,0.029746,-0.095739,-0.006353,-0.013998,1.000000,0.000238,-0.000072,0.000149,-0.024713,0.758974,0.037745,-0.649556,-150.811795,79.777772,30.248412
10160,-9.542892,-0.570591,-1.400364,-0.093361,-0.267476,-0.154886,0.009683,-0.012650,0.027125,-0.095427,-0.005718,-0.014010,1.000000,0.000048,-0.000063,0.000136,-0.024652,0.758940,0.037616,-0.649605,-150.865146,79.791272,30.189537
10161,-9.564943,-0.601350,-1.517345,0.018910,-0.235047,-0.112353,-0.023864,-0.009887,0.020007,-0.095648,-0.006025,-0.015177,1.000000,-0.000119,-0.000049,0.000100,-0.024488,0.758920,0.037624,-0.649635,-150.922511,79.801098,30.146079
10162,-9.561094,-0.621303,-1.526274,0.028500,-0.212601,-0.112995,-0.013272,-0.009411,0.017049,-0.095610,-0.006222,-0.015267,1.000000,-0.000066,-0.000047,0.000085,-0.024374,0.758897,0.037608,-0.649667,-150.966222,79.810153,30.110365
10163,-9.510336,-0.644822,-1.507431,0.017804,-0.182848,-0.163807,-0.043002,-0.013578,0.015616,-0.095102,-0.006459,-0.015079,1.000000,-0.000215,-0.000068,0.000078,-0.024151,0.758866,0.037694,-0.649706,-151.016978,79.820630,30.084822
10164,-9.573268,-0.883677,-1.539244,0.033508,0.052371,-0.076479,-0.085273,-0.001501,0.015030,-0.095732,-0.008851,-0.015389,1.000000,-0.000426,-0.000008,0.000075,-0.023771,0.758878,0.037919,-0.649694,-151.108684,79.825146,30.042261
10165,-9.755444,-1.162117,-1.653976,0.111998,0.317441,0.144297,-0.021361,-0.021146,0.014893,-0.097552,-0.011630,-0.016549,1.000000,-0.000107,-0.000106,0.000074,-0.023631,0.758819,0.037939,-0.649766,-151.133548,79.839206,30.030415
10166,-9.739276,-1.083114,-1.454236,-0.078419,0.238635,0.090763,0.069260,-0.023127,0.012644,-0.097390,-0.010832,-0.014557,1.000000,0.000346,-0.000116,0.000063,-0.023841,0.758742,0.037673,-0.649864,-151.096730,79.853903,30.028476
10167,-9.715491,-0.799000,-1.348204,-0.169282,-0.043255,0.026840,0.077657,-0.023593,0.013591,-0.097153,-0.007991,-0.013497,1.000000,0.000388,-0.000118,0.000068,-0.024081,0.758663,0.037377,-0.649964,-151.057163,79.868813,30.024465
10168,-9.692350,-0.692994,-1.329249,-0.179581,-0.146237,-0.007834,0.028608,-0.015511,0.015384,-0.096922,-0.006935,-0.013301,1.000000,0.000143,-0.000078,0.000077,-0.024129,0.758615,0.037232,-0.650026,-151.063081,79.880452,30.002774
10169,-9.672293,-0.801517,-1.376499,-0.131271,-0.034213,-0.011053,-0.024075,-0.014424,0.016938,-0.096721,-0.008025,-0.013771,1.000000,-0.000120,-0.000072,0.000085,-0.023974,0.758579,0.037253,-0.650073,-151.105469,79.891725,29.974713
10170,-9.583292,-0.951180,-1.546978,0.047515,0.126529,-0.059786,-0.029430,-0.005558,0.010904,-0.095832,-0.009519,-0.015471,1.000000,-0.000147,-0.000028,0.000055,-0.023819,0.758570,0.037312,-0.650086,-151.147598,79.897126,29.950019
10171,-9.538352,-0.894685,-1.529474,0.039300,0.075345,-0.111518,0.021592,-0.015257,0.015143,-0.095382,-0.008952,-0.015303,1.000000,0.000108,-0.000076,0.000076,-0.023842,0.758525,0.037191,-0.650145,-151.157578,79.908316,29.928254
10172,-9.517840,-0.706147,-1.452963,-0.027015,-0.110219,-0.159391,0.006682,-0.013350,0.016335,-0.095177,-0.007069,-0.014536,1.000000,0.000033,-0.000067,0.000082,-0.023805,0.758487,0.037113,-0.650194,-151.182309,79.919126,29.900217
10173,-9.518544,-0.786924,-1.570112,0.087368,-0.025950,-0.133903,-0.042419,-0.009522,0.027736,-0.095184,-0.007886,-0.015704,1.000000,-0.000212,-0.000048,0.000139,-0.023546,0.758471,0.037152,-0.650221,-151.273580,79.930908,29.833164
10174,-9.576395,-0.974691,-1.712597,0.214937,0.161072,-0.039346,-0.017435,-0.006721,0.027963,-0.095762,-0.009762,-0.017128,1.000000,-0.000087,-0.000034,0.000140,-0.023380,0.758460,0.037107,-0.650242,-151.355551,79.941571,29.761029
10175,-9.568283,-0.933064,-1.613092,0.119644,0.121663,-0.066119,0.045702,-0.009092,0.030057,-0.095681,-0.009341,-0.016137,1.000000,0.000229,-0.000045,0.000150,-0.023448,0.758435,0.036851,-0.650283,-151.403900,79.953724,29.686328
10176,-9.553314,-0.794093,-1.425338,-0.058575,-0.015704,-0.121232,0.054033,-0.015831,0.027559,-0.095531,-0.007950,-0.014263,1.000000,0.000270,-0.000079,0.000138,-0.023553,0.758386,0.036577,-0.650352,-151.429953,79.968837,29.629401
10177,-9.624667,-0.644390,-1.542713,0.051935,-0.167800,-0.045468,0.010988,-0.015712,0.018110,-0.096245,-0.006452,-0.015435,1.000000,0.000055,-0.000079,0.000091,-0.023527,0.758342,0.036479,-0.650411,-151.454216,79.981024,29.599308
10178,-9.486718,-0.310034,-1.624855,0.163929,-0.486660,-0.196535,-0.030737,-0.022079,0.005935,-0.094865,-0.003106,-0.016259,1.000000,-0.000154,-0.000110,0.000030,-0.023380,0.758278,0.036563,-0.650485,-151.457714,79.993355,29.614611
10179,-9.441144,-0.313799,-1.226728,-0.221747,-0.482558,-0.301825,-0.049018,-0.004098,0.007623,-0.094411,-0.003145,-0.012268,1.000000,-0.000245,-0.000020,0.000038,-0.023162,0.758276,0.036699,-0.650487,-151.504806,79.996838,29.596301
10180,-9.572629,-0.415815,-1.167929,-0.302508,-0.390708,-0.172769,-0.164119,-0.003605,0.012113,-0.095726,-0.004174,-0.011678,1.000000,-0.000821,-0.000018,0.000061,-0.022493,0.758289,0.037192,-0.650468,-151.631076,80.001551,29.564538
10181,-9.657021,-0.946498,-1.465240,-0.038040,0.138458,-0.000439,-0.272594,0.010407,-0.001259,-0.096571,-0.009484,-0.014634,0.999999,-0.001363,0.000052,-0.000006,-0.021458,0.758357,0.038086,-0.650372,-151.803543,79.995375,29.549022
10182,-9.688950,-1.192810,-1.772095,0.249848,0.389311,0.098159,-0.163943,0.003438,-0.007417,-0.096890,-0.011939,-0.017710,1.000000,-0.000820,0.000017,-0.000037,-0.020854,0.758387,0.038651,-0.650323,-151.884699,79.991223,29.562966
10183,-9.592075,-1.080004,-1.619529,0.116591,0.283590,-0.029888,-0.010813,-0.013808,-0.000637,-0.095920,-0.010801,-0.016201,1.000000,-0.000054,-0.000069,-0.000003,-0.020806,0.758348,0.038695,-0.650367,-151.871640,79.997400,29.583469
10184,-9.551230,-0.766024,-1.515387,0.030468,-0.027423,-0.111785,-0.002556,-0.003804,0.001172,-0.095512,-0.007661,-0.015156,1.000000,-0.000013,-0.000019,0.000006,-0.020784,0.758340,0.038703,-0.650378,-151.873828,79.999229,29.583706
10185,-9.583321,-0.577300,-1.585565,0.101391,-0.216986,-0.084893,-0.003949,-0.008961,-0.006312,-0.095833,-0.005770,-0.015860,1.000000,-0.000020,-0.000045,-0.000032,-0.020781,0.758314,0.038746,-0.650405,-151.847913,80.001413,29.613292
10186,-9.547833,-0.433147,-1.409321,-0.062502,-0.361097,-0.158641,-0.001390,0.000229,-0.000708,-0.095478,-0.004331,-0.014093,1.000000,-0.000007,0.000001,-0.000004,-0.020771,0.758318,0.038757,-0.650400,-151.850223,80.000697,29.612727
10187,-9.745349,-0.446226,-1.399425,-0.103340,-0.364495,0.035450,-0.118267,0.007934,-0.002447,-0.097454,-0.004469,-0.013988,1.000000,-0.000591,0.000040,-0.000012,-0.020325,0.758361,0.039154,-0.650341,-151.926947,79.995404,29.604610
10188,-9.900700,-0.854679,-1.518336,-0.025349,0.033376,0.240069,-0.185744,0.019169,-0.002794,-0.099009,-0.008559,-0.015166,1.000000,-0.000929,0.000096,-0.000014,-0.019627,0.758444,0.039771,-0.650227,-152.057767,79.984545,29.580807
10189,-9.798783,-1.236102,-1.533075,-0.012384,0.424937,0.172986,-0.161854,0.015369,0.002261,-0.097989,-0.012375,-0.015313,1.000000,-0.000809,0.000077,0.000011,-0.019002,0.758515,0.040292,-0.650131,-152.184168,79.976770,29.547637
10190,-9.747946,-1.576993,-1.715326,0.159707,0.776409,0.178478,-0.129446,0.004998,0.017452,-0.097479,-0.015790,-0.017141,1.000000,-0.000647,0.000025,0.000087,-0.018448,0.758550,0.040650,-0.650084,-152.319122,79.978479,29.486879
10191,-9.685291,-1.665289,-1.728737,0.178055,0.873360,0.125729,0.027032,-0.003931,0.031820,-0.096850,-0.016666,-0.017292,1.000000,0.000135,-0.000020,0.000159,-0.018439,0.758546,0.040447,-0.650102,-152.392633,79.988286,29.397495
10192,-9.610091,-1.302185,-1.414344,-0.105863,0.512807,-0.026180,0.181363,-0.004120,0.047317,-0.096098,-0.013032,-0.014157,1.000000,0.000907,-0.000021,0.000237,-0.018966,0.758528,0.039683,-0.650154,-152.421891,80.002522,29.263239
10193,-9.579829,-0.728745,-1.339277,-0.152901,-0.054764,-0.113642,0.147675,-0.008822,0.056092,-0.095796,-0.007304,-0.013402,1.000000,0.000738,-0.000044,0.000280,-0.019336,0.758501,0.038996,-0.650216,-152.488645,80.021154,29.110552
10194,-9.604154,-0.474885,-1.239841,-0.245222,-0.307861,-0.125192,0.069964,-0.000498,0.054671,-0.096040,-0.004771,-0.012400,1.000000,0.000350,-0.000002,0.000273,-0.019416,0.758507,0.038566,-0.650233,-152.609085,80.035433,28.948535
10195,-9.677517,-0.476566,-1.375677,-0.122431,-0.305083,-0.031794,-0.011897,0.003108,0.044340,-0.096774,-0.004788,-0.013755,1.000000,-0.000059,0.000016,0.000222,-0.019221,0.758531,0.038442,-0.650218,-152.751948,80.044845,28.811442
10196,-9.563711,-0.575963,-1.520817,0.033985,-0.188788,-0.113596,-0.057690,0.006712,0.043216,-0.095636,-0.005785,-0.015203,1.000000,-0.000288,0.000034,0.000216,-0.018856,0.758570,0.038469,-0.650182,-152.923733,80.052311,28.671563
10197,-9.475462,-0.721589,-1.694491,0.212692,-0.027994,-0.162281,-0.037360,0.008953,0.038945,-0.094754,-0.007238,-0.016939,1.000000,-0.000187,0.000045,0.000195,-0.018583,0.758614,0.038447,-0.650139,-153.074967,80.057227,28.540684
10198,-9.458185,-0.745907,-1.685840,0.205008,0.001465,-0.178703,0.016842,0.004806,0.041009,-0.094581,-0.007477,-0.016857,1.000000,0.000084,0.000024,0.000205,-0.018508,0.758640,0.038240,-0.650124,-153.195191,80.064970,28.409803
10199,-9.550686,-0.674869,-1.691718,0.199004,-0.073305,-0.092194,0.039730,-0.001409,0.041312,-0.095505,-0.006765,-0.016919,1.000000,0.000199,-0.000007,0.000207,-0.018518,0.758644,0.037959,-0.650135,-153.294355,80.075673,28.286921
10200,-9.625763,-0.632674,-1.687688,0.185460,-0.118648,-0.022110,0.045937,-0.004837,0.033114,-0.096256,-0.006339,-0.016881,1.000000,0.000230,-0.000024,0.000166,-0.018577,0.758633,0.037689,-0.650161,-153.361023,80.086247,28.193493
10201,-9.641211,-0.578746,-1.566665,0.066214,-0.173788,-0.029653,0.060407,-0.010521,0.032482,-0.096410,-0.005798,-0.015673,1.000000,0.000302,-0.000053,0.000162,-0.018692,0.758604,0.037375,-0.650210,-153.409585,80.099283,28.110001
10202,-9.594199,-0.462535,-1.499239,0.011787,-0.285173,-0.095236,0.032382,-0.013850,0.021472,-0.095940,-0.004633,-0.015000,1.000000,0.000162,-0.000069,0.000107,-0.018735,0.758564,0.037194,-0.650267,-153.436908,80.111464,28.064403
10203,-9.596614,-0.379581,-1.438877,-0.044333,-0.367746,-0.108449,0.009489,-0.013015,0.014389,-0.095965,-0.003802,-0.014395,1.000000,0.000047,-0.000065,0.000072,-0.018715,0.758528,0.037115,-0.650314,-153.458173,80.121160,28.038387
10204,-9.569361,-0.272785,-1.360791,-0.113050,-0.472423,-0.155417,-0.017858,-0.008086,0.005907,-0.095693,-0.002732,-0.013612,1.000000,-0.000089,-0.000040,0.000030,-0.018619,0.758508,0.037156,-0.650338,-153.477064,80.126396,28.030569
10205,-9.483316,-0.236182,-1.285490,-0.172979,-0.502591,-0.254496,-0.087924,-0.003366,-0.003002,-0.094833,-0.002366,-0.012855,1.000000,-0.000440,-0.000017,-0.000015,-0.018287,0.758509,0.037458,-0.650328,-153.517495,80.126744,28.041756
10206,-9.496336,-0.524324,-1.371795,-0.099832,-0.213561,-0.206358,-0.176303,0.001855,-0.011172,-0.094964,-0.005250,-0.013712,1.000000,-0.000882,0.000009,-0.000056,-0.017648,0.758532,0.038078,-0.650283,-153.591457,80.122521,28.070186
10207,-9.541894,-0.836529,-1.537740,0.044406,0.099284,-0.112155,-0.182551,0.008811,-0.009223,-0.095420,-0.008375,-0.015366,1.000000,-0.000913,0.000044,-0.000046,-0.016979,0.758579,0.038710,-0.650209,-153.685798,80.115084,28.081666
10208,-9.672645,-0.947735,-1.701530,0.180276,0.204874,0.050324,-0.140964,0.000517,-0.017022,-0.096727,-0.009481,-0.017008,1.000000,-0.000705,0.000003,-0.000085,-0.016493,0.758592,0.039237,-0.650174,-153.720295,80.110075,28.129604
10209,-9.621363,-0.686898,-1.835713,0.330343,-0.047606,0.000615,-0.082830,-0.019695,-0.029559,-0.096213,-0.006862,-0.018364,1.000000,-0.000414,-0.000098,-0.000148,-0.016264,0.758534,0.039624,-0.650224,-153.655947,80.112072,28.244066
10210,-9.601304,-0.303287,-1.657613,0.174108,-0.434566,-0.075873,-0.069673,-0.024282,-0.034231,-0.096012,-0.003022,-0.016587,1.000000,-0.000348,-0.000121,-0.000171,-0.016099,0.758457,0.039987,-0.650296,-153.562722,80.115396,28.380189
10211,-9.565076,-0.044660,-1.439138,-0.023831,-0.697474,-0.165058,-0.121233,-0.023252,-0.044578,-0.095649,-0.000434,-0.014402,1.000000,-0.000606,-0.000116,-0.000223,-0.015772,0.758387,0.040556,-0.650350,-153.471126,80.115302,28.544658
10212,-9.699469,-0.189184,-1.360287,-0.126572,-0.569526,-0.033859,-0.186357,-0.008144,-0.058680,-0.096995,-0.001876,-0.013605,1.000000,-0.000932,-0.000041,-0.000293,-0.015248,0.758366,0.041390,-0.650335,-153.396609,80.104019,28.729655
10213,-9.769018,-0.352411,-1.395973,-0.108609,-0.415182,0.052528,-0.222248,-0.007786,-0.074847,-0.097691,-0.003503,-0.013960,0.999999,-0.001111,-0.000039,-0.000374,-0.014639,0.758347,0.042400,-0.650306,-153.297627,80.088197,28.960407
10214,-9.714835,-0.618820,-1.399610,-0.109589,-0.149658,0.020189,-0.232439,0.000026,-0.081965,-0.097151,-0.006165,-0.013989,0.999999,-0.001162,0.000000,-0.000410,-0.014017,0.758349,0.043471,-0.650247,-153.194278,80.066624,29.201496
10215,-9.813838,-0.770063,-1.536223,0.001377,-0.007605,0.150461,-0.209583,0.006178,-0.087372,-0.098142,-0.007674,-0.015351,0.999999,-0.001048,0.000031,-0.000437,-0.013499,0.758369,0.044486,-0.650166,-153.073761,80.040339,29.446803
10216,-9.879113,-0.802379,-1.624680,0.075347,0.015965,0.230934,-0.146756,0.006670,-0.097300,-0.098796,-0.007988,-0.016238,1.000000,-0.000734,0.000033,-0.000486,-0.013253,0.758382,0.045336,-0.650097,-152.888468,80.011191,29.721287
10217,-9.856261,-0.646853,-1.615997,0.077312,-0.145514,0.194739,-0.116455,-0.004179,-0.113967,-0.098566,-0.006422,-0.016158,1.000000,-0.000582,-0.000021,-0.000570,-0.013173,0.758355,0.046150,-0.650073,-152.624806,79.982911,30.057709
10218,-9.813467,-0.387497,-1.646016,0.127730,-0.408379,0.136210,-0.134171,-0.014826,-0.124868,-0.098136,-0.003825,-0.016465,1.000000,-0.000671,-0.000074,-0.000624,-0.013060,0.758289,0.047064,-0.650086,-152.323929,79.956966,30.442295
10219,-9.833291,-0.193854,-1.621837,0.113318,-0.614954,0.135706,-0.128381,-0.022699,-0.148926,-0.098332,-0.001876,-0.016228,1.000000,-0.000642,-0.000113,-0.000745,-0.013042,0.758193,0.048052,-0.650126,-151.942943,79.928103,30.905108
10220,-9.980913,-0.031715,-1.360858,-0.154779,-0.815819,0.226338,-0.084164,-0.017440,-0.193003,-0.099808,-0.000227,-0.013617,0.999999,-0.000421,-0.000087,-0.000965,-0.013339,0.758098,0.049063,-0.650155,-151.420866,79.884034,31.485346
10221,-9.993689,0.302248,-1.414190,-0.081627,-1.166839,0.217113,-0.138495,-0.024439,-0.244654,-0.099931,0.003135,-0.014156,0.999999,-0.000692,-0.000122,-0.001223,-0.013594,0.757972,0.050444,-0.650191,-150.782070,79.828127,32.215971
10222,-10.022046,0.559022,-1.605785,0.123279,-1.440585,0.249217,-0.195072,-0.027868,-0.301918,-0.100210,0.005726,-0.016077,0.999998,-0.000975,-0.000139,-0.001510,-0.013822,0.757821,0.052229,-0.650222,-150.017943,79.756163,33.106925
